food_name,image
애프터 커피 캔디 (페퍼민트),https://image.istarbucks.co.kr/upload/store/skuimg/2018/08/[9300000001523]_20180831125504905.jpg
우도 땅콩 다쿠아즈,https://image.istarbucks.co.kr/upload/store/skuimg/2017/09/[9300000001189]_20170921154050948.jpg
우리 흑米 카스텔라,https://image.istarbucks.co.kr/upload/store/skuimg/2020/01/[9300000002617]_20200116130709118.jpg
우리米 카스텔라,https://image.istarbucks.co.kr/upload/store/skuimg/2020/01/[9300000002127]_20200122173812466.jpg
자일리톨 캔디 크리스탈 레몬,https://image.istarbucks.co.kr/upload/store/skuimg/2020/03/[9300000002556]_20200317142407826.jpg
제주 녹차 다쿠아즈,https://image.istarbucks.co.kr/upload/store/skuimg/2017/09/[9300000001195]_20170921153929268.jpg
카라멜 스틱,https://image.istarbucks.co.kr/upload/store/skuimg/2017/09/[9300000001059]_20170919152045307.jpg
카라멜 와플,https://image.istarbucks.co.kr/upload/store/skuimg/2015/12/[5650003327]_20151214094216294.jpg
큐브 라이스 카스텔라,https://image.istarbucks.co.kr/upload/store/skuimg/2020/05/[9300000002726]_20200529153429616.jpg
한입에 쏙 공주 알밤,https://image.istarbucks.co.kr/upload/store/skuimg/2019/09/[9300000002000]_20190927151638169.jpg
유기농 바닐라 아이스크림,https://image.istarbucks.co.kr/upload/store/skuimg/2016/06/[5110009050]_20160610090705752.jpg
유기농 초콜릿 아이스크림,https://image.istarbucks.co.kr/upload/store/skuimg/2017/05/[9300000000810]_20170523151927203.jpg
자바 칩 유기농 바닐라 아이스크림,https://image.istarbucks.co.kr/upload/store/skuimg/2016/06/[9900000000034]_20160610090907630.jpg
자바 칩 유기농 초콜릿 아이스크림,https://image.istarbucks.co.kr/upload/store/skuimg/2017/05/[9900000000171]_20170523152018211.jpg
넛츠 바닐라 아포가토,https://image.istarbucks.co.kr/upload/store/skuimg/2016/06/[9900000000033]_20160610103328615.jpg
넛츠 초콜릿 아포가토,https://image.istarbucks.co.kr/upload/store/skuimg/2017/05/[9900000000170]_20170523152501374.jpg
바닐라 아포가토,https://image.istarbucks.co.kr/upload/store/skuimg/2016/06/[9900000000031]_20160610102716564.jpg
자바 칩 바닐라 아포가토,https://image.istarbucks.co.kr/upload/store/skuimg/2016/06/[9900000000032]_20160610103052650.jpg
자바 칩 초콜릿 아포가토,https://image.istarbucks.co.kr/upload/store/skuimg/2017/05/[9900000000169]_20170523152354183.jpg
초콜릿 아포가토,https://image.istarbucks.co.kr/upload/store/skuimg/2017/05/[9900000000168]_20170523152252647.jpg
